Code,Area,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs Percentage of pupils entered for components,English and maths GCSEs Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass
E09000001,City of London,-,-,-,-,55.6,-
E09000002,Barking and Dagenham,2805,50.5,-,96.3,49.3,70.1
E09000003,Barnet,4100,60.8,-,97.5,69.8,84
E09000004,Bexley,3262,54,-,98.3,57.6,75.5
E09000005,Brent,3160,53.7,-,97.7,56.3,75.4
E09000006,Bromley,3356,55.2,-,97.3,59.5,78.8
E09000007,Camden,1644,53.1,-,96.8,54.6,75.3
E09000008,Croydon,3831,50,-,96.8,50.7,70.4
E09000009,Ealing,3276,53.6,-,97.3,58.7,76.6
E09000010,Enfield,3783,51.1,-,96.9,52,71.1
E09000011,Greenwich,2695,51.2,-,97.6,52.5,70.8
E09000012,Hackney,2331,54,-,96.9,54.8,73.6
E09000013,Hammersmith and Fulham,1458,58.1,-,95.5,65.4,81
E09000014,Haringey,2514,51.4,-,96.5,53.6,72.6
E09000015,Harrow,2521,54.8,-,97.7,58.2,75.9
E09000016,Havering,2882,52.2,-,97.8,54.9,76.1
E09000017,Hillingdon,3420,52.8,-,97,54.4,74.2
E09000018,Hounslow,2916,53.9,-,97.1,55.6,74.9
E09000019,Islington,1493,52.2,-,95.9,54.1,72.9
E09000020,Kensington and Chelsea,896,57.9,-,97.3,63.8,82.6
E09000021,Kingston upon Thames,1828,61.4,-,96.9,71.6,84.5
E09000022,Lambeth,2264,51.3,-,96.9,51.1,71.5
E09000023,Lewisham,2340,49.1,-,96.4,48.3,67.5
E09000024,Merton,1555,53.2,-,97.2,52.6,73.2
E09000025,Newham,4311,54.5,-,97.8,54.2,74.3
E09000026,Redbridge,3874,56.8,-,98.3,63.7,79.5
E09000027,Richmond upon Thames,1736,58.1,-,97.6,67.9,83.8
E09000028,Southwark,3002,55,-,97.8,57.4,77.2
E09000029,Sutton,3048,62,-,97.7,68.9,84.8
E09000030,Tower Hamlets,2967,51.7,-,95.2,54.2,74.4
E09000031,Waltham Forest,2707,51.5,-,96.1,50.4,68.7
E09000032,Wandsworth,1919,52.2,-,93.7,55.9,74.6
E09000033,Westminster,1752,57.6,-,98.3,65.1,82.4
