Name,URI,Region GSS code,Period,Sales volume,Reporting period,House price index All property types,Pivotable date
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Jan-12,81,monthly,74.48,01/01/2012
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Jan-12,300,monthly,76.14,01/01/2012
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Jan-12,186,monthly,75.43,01/01/2012
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Jan-12,171,monthly,73.19,01/01/2012
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Jan-12,337,monthly,74.03,01/01/2012
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Feb-12,122,monthly,74.34,01/02/2012
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Feb-12,311,monthly,76.3,01/02/2012
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Feb-12,181,monthly,76.1,01/02/2012
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Feb-12,152,monthly,72.17,01/02/2012
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Feb-12,339,monthly,74.69,01/02/2012
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Mar-12,162,monthly,74.72,01/03/2012
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Mar-12,364,monthly,75.56,01/03/2012
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Mar-12,281,monthly,75.89,01/03/2012
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Mar-12,198,monthly,72.25,01/03/2012
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Mar-12,429,monthly,74.03,01/03/2012
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Apr-12,68,monthly,74.85,01/04/2012
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Apr-12,279,monthly,76.11,01/04/2012
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Apr-12,187,monthly,76.25,01/04/2012
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Apr-12,132,monthly,70.35,01/04/2012
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Apr-12,276,monthly,74.38,01/04/2012
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,May-12,101,monthly,75.66,01/05/2012
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,May-12,341,monthly,76.61,01/05/2012
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,May-12,212,monthly,76.45,01/05/2012
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,May-12,126,monthly,71.39,01/05/2012
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,May-12,384,monthly,74.49,01/05/2012
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Jun-12,127,monthly,76.36,01/06/2012
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Jun-12,380,monthly,78.39,01/06/2012
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Jun-12,252,monthly,77.38,01/06/2012
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Jun-12,148,monthly,73.91,01/06/2012
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Jun-12,454,monthly,75.62,01/06/2012
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Jul-12,134,monthly,76.34,01/07/2012
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Jul-12,321,monthly,78.53,01/07/2012
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Jul-12,281,monthly,77.93,01/07/2012
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Jul-12,192,monthly,76.55,01/07/2012
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Jul-12,459,monthly,76.27,01/07/2012
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Aug-12,122,monthly,75.51,01/08/2012
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Aug-12,392,monthly,78.59,01/08/2012
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Aug-12,288,monthly,78.39,01/08/2012
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Aug-12,181,monthly,78.91,01/08/2012
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Aug-12,520,monthly,76.95,01/08/2012
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Sep-12,90,monthly,75.11,01/09/2012
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Sep-12,379,monthly,79.57,01/09/2012
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Sep-12,210,monthly,78.48,01/09/2012
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Sep-12,195,monthly,76.52,01/09/2012
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Sep-12,347,monthly,76.43,01/09/2012
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Oct-12,102,monthly,75.12,01/10/2012
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Oct-12,337,monthly,79.44,01/10/2012
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Oct-12,266,monthly,78.67,01/10/2012
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Oct-12,170,monthly,75.51,01/10/2012
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Oct-12,464,monthly,76.73,01/10/2012
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Nov-12,119,monthly,75.66,01/11/2012
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Nov-12,339,monthly,79.19,01/11/2012
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Nov-12,283,monthly,78.54,01/11/2012
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Nov-12,204,monthly,74.31,01/11/2012
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Nov-12,454,monthly,76.62,01/11/2012
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Dec-12,114,monthly,76.25,01/12/2012
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Dec-12,312,monthly,78.32,01/12/2012
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Dec-12,247,monthly,79.07,01/12/2012
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Dec-12,188,monthly,76.17,01/12/2012
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Dec-12,382,monthly,77.42,01/12/2012
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Jan-13,92,monthly,76.3,01/01/2013
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Jan-13,337,monthly,78.65,01/01/2013
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Jan-13,183,monthly,79.92,01/01/2013
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Jan-13,132,monthly,77.02,01/01/2013
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Jan-13,302,monthly,76.93,01/01/2013
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Feb-13,120,monthly,77,01/02/2013
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Feb-13,321,monthly,78.69,01/02/2013
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Feb-13,195,monthly,80.53,01/02/2013
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Feb-13,166,monthly,76.56,01/02/2013
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Feb-13,303,monthly,76.63,01/02/2013
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Mar-13,96,monthly,76.98,01/03/2013
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Mar-13,417,monthly,78.84,01/03/2013
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Mar-13,225,monthly,80.43,01/03/2013
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Mar-13,185,monthly,76.38,01/03/2013
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Mar-13,310,monthly,76.21,01/03/2013
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Apr-13,107,monthly,77.23,01/04/2013
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Apr-13,338,monthly,78.44,01/04/2013
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Apr-13,237,monthly,80.56,01/04/2013
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Apr-13,154,monthly,77.18,01/04/2013
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Apr-13,342,monthly,77.02,01/04/2013
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,May-13,135,monthly,77.46,01/05/2013
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,May-13,402,monthly,79.03,01/05/2013
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,May-13,282,monthly,80.31,01/05/2013
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,May-13,195,monthly,77.7,01/05/2013
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,May-13,475,monthly,77.65,01/05/2013
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Jun-13,132,monthly,78.45,01/06/2013
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Jun-13,325,monthly,79.71,01/06/2013
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Jun-13,252,monthly,80.38,01/06/2013
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Jun-13,205,monthly,79.05,01/06/2013
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Jun-13,434,monthly,78.92,01/06/2013
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Jul-13,165,monthly,79.34,01/07/2013
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Jul-13,457,monthly,81.82,01/07/2013
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Jul-13,299,monthly,80.22,01/07/2013
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Jul-13,207,monthly,79.5,01/07/2013
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Jul-13,536,monthly,79.69,01/07/2013
