Name,URI,Region GSS code,Period,Sales volume,Reporting period,House price index All property types,Pivotable date
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,2019-01,119,monthly,135.04,01/01/2019
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,2019-01,291,monthly,114.58,01/01/2019
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,2019-01,215,monthly,129.4,01/01/2019
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,2019-01,126,monthly,113.28,01/01/2019
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,2019-01,280,monthly,118.18,01/01/2019
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,2019-02,139,monthly,133.52,01/02/2019
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,2019-02,261,monthly,113.5,01/02/2019
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,2019-02,219,monthly,129.58,01/02/2019
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,2019-02,120,monthly,113.13,01/02/2019
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,2019-02,340,monthly,117.93,01/02/2019
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,2019-03,156,monthly,133.62,01/03/2019
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,2019-03,290,monthly,111.95,01/03/2019
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,2019-03,225,monthly,128.63,01/03/2019
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,2019-03,127,monthly,112.41,01/03/2019
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,2019-03,341,monthly,116.93,01/03/2019
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,2019-04,120,monthly,134.26,01/04/2019
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,2019-04,332,monthly,111.04,01/04/2019
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,2019-04,226,monthly,129.62,01/04/2019
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,2019-04,108,monthly,114.97,01/04/2019
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,2019-04,349,monthly,115.77,01/04/2019
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,2019-05,111,monthly,134.13,01/05/2019
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,2019-05,335,monthly,109.26,01/05/2019
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,2019-05,237,monthly,128.67,01/05/2019
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,2019-05,152,monthly,113.95,01/05/2019
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,2019-05,372,monthly,114.7,01/05/2019
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,2019-06,125,monthly,133.53,01/06/2019
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,2019-06,392,monthly,111.07,01/06/2019
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,2019-06,242,monthly,129.53,01/06/2019
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,2019-06,107,monthly,112.44,01/06/2019
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,2019-06,350,monthly,115.11,01/06/2019
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,2019-07,180,monthly,135.06,01/07/2019
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,2019-07,334,monthly,111.45,01/07/2019
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,2019-07,279,monthly,129.35,01/07/2019
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,2019-07,147,monthly,111.79,01/07/2019
